"team","Capital.City","Latitude","Longitude","Population","Capital.Type","possession.team","possession.in.contest","number.of.goals.team","total.attempts.team","conceded.team","goal.inside.the.penalty.area.team","goal.outside.the.penalty.area.team","assists.team","on.target.attempts.team","off.target.attempts.team","attempts.inside.the.penalty.area.team","attempts.outside.the.penalty.area..team","left.channel.team","left.inside.channel.team","central.channel.team","right.inside.channel.team","right.channel.team","total.offers.to.receive.team","inbehind.offers.to.receive.team","inbetween.offers.to.receive.team","infront.offers.to.receive.team","receptions.between.midfield.and.defensive.lines.team","attempted.line.breaks.team","completed.line.breaks.team","attempted.defensive.line.breaks.team","completed.defensive.line.breaks.team","yellow.cards.team","red.cards.team","fouls.committed","fouls.drawn","offsides.team","passes.team","passes.completed.team","crosses.team","crosses.completed.team","switches.of.play.completed.team","corners.team","free.kicks.team","penalties.scored.team","goal.preventions.team","own.goals.team","forced.turnovers.team","defensive.pressures.applied.team","total.goals","total.attempts","total.attempted.defensive.line.breaks","team_num"
"ARGENTINA","Buenos Aires",-34.6051,-58.4004,14966530,"Capital",51.1428571428571,12,2.14285714285714,14.8571428571429,1.14285714285714,2,0.142857142857143,1.14285714285714,6.85714285714286,6,9.42857142857143,5.42857142857143,12.8571428571429,6.57142857142857,7.57142857142857,6,14.4285714285714,656.428571428571,128.285714285714,242.428571428571,285.714285714286,16.2857142857143,187,130.571428571429,24.1428571428571,13.5714285714286,2.28571428571429,0,14.2857142857143,16.8571428571429,3.28571428571429,625,548.714285714286,16.4285714285714,4.28571428571429,5.42857142857143,5.57142857142857,17.5714285714286,0.571428571428571,6.42857142857143,0.142857142857143,70.5714285714286,241.142857142857,3.28571428571429,21,36,1.28571428571429
"AUSTRALIA","Canberra",-35.2835,149.1281,447692,"Capital",31.25,14,1,6.25,1.5,0.75,0,0.75,2.25,2.5,3.25,3,9.75,2,3.25,3.75,12,425.75,99,156.5,170.25,7.75,154,87,15.75,7.75,1.75,0,13,9.75,0.25,384,301.5,14.5,2.5,4,2,12,0,15.75,0,76.75,345.75,2.5,22,38.75,1.75
"BELGIUM","Bruxelles-Brussel",50.8467,4.3499,2049510,"Capital",49.6666666666667,11,0.333333333333333,11.3333333333333,0.666666666666667,0.333333333333333,0,0.333333333333333,3.66666666666667,6.33333333333333,7.66666666666667,3.66666666666667,12,5.33333333333333,5,3.33333333333333,8,643.666666666667,127.333333333333,220,296.333333333333,8,167,112.333333333333,17.3333333333333,7.66666666666667,1.66666666666667,0,10,11.6666666666667,1,593,522.666666666667,17,5.33333333333333,4.66666666666667,5.66666666666667,14.3333333333333,0,14.3333333333333,0,60,274.666666666667,1,25.6666666666667,36.3333333333333,1.33333333333333
"BRAZIL","Brasília",-15.7797,-47.9297,4469585,"Capital",50.4,10.8,1.6,18,0.6,1.6,0,1.2,8.2,6.8,11.4,6.6,19.6,8.2,8.2,6.8,15.8,686.4,149,263.4,274,12.8,181.4,131.8,18.2,11.4,1.2,0,12.6,15.6,1.6,601.8,539.2,23.2,4.8,5.6,7.4,17,0.2,6.8,0,72.2,295.4,2.2,24.8,35,1.4
"CAMEROON","Yaoundé",3.8667,11.5167,3655656,"Capital",38.3333333333333,12.3333333333333,1.33333333333333,9,1.33333333333333,1.33333333333333,0,1.33333333333333,4.66666666666667,2.66666666666667,6.66666666666667,2.33333333333333,7.33333333333333,7.66666666666667,4,4.33333333333333,14,459,100,180.333333333333,178.666666666667,9.66666666666667,166.333333333333,91,18,7.66666666666667,2.66666666666667,0.333333333333333,10.6666666666667,13,0.666666666666667,386.333333333333,311.333333333333,17.3333333333333,2.66666666666667,5.66666666666667,4,15.3333333333333,0,14.6666666666667,0,80,307.333333333333,2.66666666666667,23.3333333333333,37.3333333333333,1.33333333333333
"CANADA","Ottawa-Gatineau",45.4166,-75.698,1363159,"Capital",47,12,0.666666666666667,11.6666666666667,2.33333333333333,0.333333333333333,0,0.333333333333333,2,6.33333333333333,7.33333333333333,4.33333333333333,15.6666666666667,4.66666666666667,4.33333333333333,5,14.6666666666667,625.666666666667,150,245.666666666667,230,9.66666666666667,176.666666666667,116,19.6666666666667,9,2.66666666666667,0,11,12.6666666666667,2.66666666666667,499.333333333333,429.333333333333,18,5,5.33333333333333,4,14,0,9.66666666666667,0,61.6666666666667,286.666666666667,3,21.3333333333333,37.3333333333333,1.66666666666667
"COSTA RICA","San José",9.9278,-84.0807,1357745,"Capital",27.6666666666667,11.6666666666667,1,4,3.66666666666667,1,0,0.333333333333333,2.33333333333333,0.666666666666667,2.33333333333333,1.66666666666667,6.66666666666667,1.66666666666667,2.33333333333333,0.666666666666667,2,341,76.3333333333333,145.666666666667,119,4,142.333333333333,82,9.33333333333333,2.66666666666667,2,0,8,13,4.33333333333333,340.666666666667,270,7.33333333333333,1,4,0.333333333333333,15,0,21,0,73.6666666666667,419,4.66666666666667,25,39.3333333333333,1.66666666666667
"CROATIA","Zagreb",45.8144,15.978,685587,"Capital",48,11.5714285714286,1.14285714285714,11.5714285714286,1,1,0.142857142857143,1.14285714285714,4,5.14285714285714,6.71428571428571,4.85714285714286,16.7142857142857,5.42857142857143,4.71428571428571,3.85714285714286,13.1428571428571,628.857142857143,131.428571428571,253.857142857143,243.571428571429,11.8571428571429,197.714285714286,136.285714285714,19,10,1.14285714285714,0,12.8571428571429,13.4285714285714,1.57142857142857,610.285714285714,532,23.2857142857143,5.14285714285714,9.42857142857143,4.28571428571429,15.1428571428571,0,11.7142857142857,0,78.2857142857143,301.857142857143,2.14285714285714,23.1428571428571,36.4285714285714,1.42857142857143
"DENMARK","København (Copenhagen)",55.6759,12.5655,1320826,"Capital",53,13.3333333333333,0.333333333333333,11.6666666666667,1,0.333333333333333,0,0.333333333333333,3,5.66666666666667,7.66666666666667,4,19,4.66666666666667,4.66666666666667,5.33333333333333,20.6666666666667,645.333333333333,156.333333333333,267.666666666667,221.333333333333,16,201.333333333333,146.666666666667,21.6666666666667,14.6666666666667,1.66666666666667,0,9.33333333333333,8.33333333333333,1.66666666666667,593.666666666667,521,25.6666666666667,6.33333333333333,11.3333333333333,7,9.33333333333333,0,13.3333333333333,0,70.3333333333333,223,1.33333333333333,25,38.3333333333333,1.66666666666667
"ECUADOR","Quito",-0.2299,-78.525,1822397,"Capital",46.6666666666667,12.6666666666667,1.33333333333333,9,1,1.33333333333333,0,0.666666666666667,4,3,5.66666666666667,3.33333333333333,10.3333333333333,5,3,5,5.33333333333333,508.666666666667,98.6666666666667,212.333333333333,197.666666666667,7.33333333333333,152,86.6666666666667,15,6.33333333333333,1,0,16.6666666666667,13.6666666666667,2.66666666666667,445.666666666667,369,18.3333333333333,4.66666666666667,4,3.66666666666667,15.6666666666667,0.333333333333333,7.33333333333333,0,61,249.333333333333,2.33333333333333,16.3333333333333,27.6666666666667,1.66666666666667
