"team","possession.team","possession.in.contest","number.of.goals.team","total.attempts.team","conceded.team","goal.inside.the.penalty.area.team","goal.outside.the.penalty.area.team","assists.team","on.target.attempts.team","off.target.attempts.team","attempts.inside.the.penalty.area.team","attempts.outside.the.penalty.area..team","left.channel.team","left.inside.channel.team","central.channel.team","right.inside.channel.team","right.channel.team","total.offers.to.receive.team","inbehind.offers.to.receive.team","inbetween.offers.to.receive.team","infront.offers.to.receive.team","receptions.between.midfield.and.defensive.lines.team","attempted.line.breaks.team","completed.line.breaks.team","attempted.defensive.line.breaks.team","completed.defensive.line.breaks.team","yellow.cards.team","red.cards.team","fouls.committed","fouls.drawn","offsides.team","passes.team","passes.completed.team","crosses.team","crosses.completed.team","switches.of.play.completed.team","corners.team","free.kicks.team","penalties.scored.team","goal.preventions.team","own.goals.team","forced.turnovers.team","defensive.pressures.applied.team","total.goals","total.attempts","total.attempted.defensive.line.breaks","outcome","team_num","result"
"QATAR",42,8,0,5,2,0,0,0,0,5,2,3,15,0,3,1,9,520,116,235,169,5,136,86,9,4,4,0,15,15,3,450,381,9,4,9,1,19,0,6,0,52,256,2,11,22,2,1,"2"
"QATAR",42,10,1,10,3,1,0,1,2,7,4,6,7,5,2,5,11,511,109,199,203,9,174,117,13,7,3,0,7,12,4,424,353,18,5,12,6,15,0,12,0,67,308,4,22,32,2,1,"2"
"QATAR",38,8,0,6,2,0,0,0,4,2,2,4,10,7,5,4,6,574,100,245,229,11,161,107,15,10,0,0,9,19,0,459,394,16,4,10,2,24,0,14,0,52,322,2,19,28,1,2,"2"
"ENGLAND",72,9,6,13,2,6,0,6,7,3,10,3,11,5,2,3,11,1061,207,386,468,16,238,178,25,16,0,0,9,14,2,809,730,23,7,12,8,16,0,8,0,63,139,8,21,32,1,1,"1"
"ENGLAND",51,9,0,8,0,0,0,0,3,4,6,2,11,2,7,5,11,676,116,290,270,10,208,147,23,10,0,0,9,15,1,550,488,13,4,9,3,15,0,10,0,52,266,0,18,38,0,1,"0"
"ENGLAND",54,11,3,8,0,3,0,3,4,4,7,1,17,6,2,2,13,794,140,276,378,11,184,129,16,12,0,0,16,12,0,597,523,19,7,11,3,12,0,10,0,60,230,3,18,31,1,1,"1"
"ENGLAND",54,10,1,14,2,1,0,0,6,4,6,8,17,6,4,2,10,661,127,312,222,8,147,108,13,10,1,0,10,14,1,508,453,22,5,5,5,14,1,9,0,49,193,3,23,27,2,1,"2"
"ENGLAND",58,10,3,17,0,2,1,2,7,6,13,4,10,4,7,12,9,777,140,310,327,9,167,131,13,8,0,0,9,16,1,588,529,17,7,6,6,17,0,8,0,56,167,3,24,17,2,2,"1"
"SENEGAL",44,11,0,14,2,0,0,0,3,8,7,7,12,4,2,4,13,502,123,230,149,15,151,89,22,15,2,0,13,13,2,383,313,19,7,9,6,14,0,9,0,63,263,2,23,44,2,1,"2"
"SENEGAL",48,10,3,12,1,3,0,2,4,6,10,2,26,4,6,4,18,553,136,190,227,12,184,113,19,9,3,0,12,7,3,511,445,20,6,9,7,11,0,11,0,67,232,4,22,32,2,2,"1"
"SENEGAL",32,17,2,15,1,2,0,0,5,8,11,4,14,0,2,7,10,268,76,115,77,12,153,84,20,12,1,0,11,23,3,269,198,20,5,6,6,22,1,8,0,62,243,3,23,30,2,2,"1"
"SENEGAL",35,11,0,10,3,0,0,0,2,6,4,6,8,1,0,4,9,489,95,193,201,7,159,86,15,7,1,0,12,16,0,393,320,13,3,7,3,16,0,8,0,74,339,3,18,31,1,2,"2"
"UNITED STATES",51,10,1,6,1,1,0,1,1,4,4,2,14,5,4,4,11,725,149,336,240,12,199,146,23,15,4,0,15,10,1,569,509,31,4,5,5,11,0,7,0,81,242,2,13,40,0,1,"0"
"UNITED STATES",40,9,0,10,0,0,0,0,2,7,6,4,12,0,1,6,8,539,129,238,172,6,143,88,15,5,0,0,15,9,0,427,368,16,2,2,7,10,0,8,0,61,350,0,18,38,0,2,"0"
"UNITED STATES",45,13,1,12,0,1,0,1,5,4,8,4,11,7,7,5,17,697,133,262,302,17,185,133,27,16,1,0,10,13,1,470,413,22,2,8,5,15,0,6,0,74,302,1,18,50,2,2,"1"
"UNITED STATES",54,13,1,18,3,1,0,1,7,4,11,7,13,8,4,9,15,820,179,360,281,17,187,126,28,17,0,0,5,10,3,567,487,27,2,5,5,10,0,13,0,77,256,4,29,45,1,2,"2"
"ARGENTINA",64,12,1,14,2,1,0,0,6,5,10,4,12,4,5,8,18,650,157,177,316,26,191,127,39,25,0,0,7,21,10,610,529,29,12,5,9,22,1,4,0,65,163,3,17,54,2,1,"2"
"ARGENTINA",50,14,2,5,0,1,1,2,2,3,2,3,10,6,2,4,12,569,103,244,222,2,150,100,10,5,1,0,15,19,2,533,464,14,2,3,4,23,0,4,0,63,220,2,9,23,1,1,"1"
"ARGENTINA",53,12,2,14,1,2,0,1,5,7,11,3,15,6,11,2,17,869,131,337,401,8,181,135,16,8,0,0,8,15,4,711,635,6,1,5,1,15,0,5,1,67,240,3,19,28,1,1,"1"
"ARGENTINA",34,12,3,10,0,3,0,1,7,2,7,3,8,9,7,3,2,349,89,122,138,7,147,91,17,7,2,0,15,8,1,408,344,8,2,4,2,6,1,12,0,85,321,3,22,26,1,1,"1"
"ARGENTINA",46,14,3,21,3,3,0,1,9,9,10,11,13,6,8,9,9,607,146,257,204,43,223,151,38,23,4,0,26,19,4,648,544,20,4,6,6,22,1,11,0,87,280,6,31,52,0,1,"0"
"ARGENTINA",67,9,2,25,0,2,0,2,13,8,21,4,25,8,7,10,26,907,175,282,450,21,214,188,25,19,1,0,11,6,0,862,814,22,5,11,9,5,0,4,0,48,141,2,29,30,2,2,"1"
"ARGENTINA",44,11,2,15,2,2,0,1,6,8,5,10,7,7,13,6,17,644,97,278,269,7,203,122,24,8,8,0,18,30,2,603,511,16,4,4,8,30,1,5,0,79,323,4,20,39,0,2,"0"
"DENMARK",55,12,0,11,0,0,0,0,4,4,7,4,17,4,7,6,18,681,152,276,253,14,190,136,21,12,2,0,9,10,1,594,523,27,10,11,11,11,0,11,0,76,226,0,22,38,0,1,"0"
"DENMARK",44,12,1,10,2,1,0,1,2,6,5,5,13,5,3,4,25,615,171,268,176,17,173,132,23,15,2,0,9,4,1,537,473,18,4,14,4,5,0,21,0,61,282,3,31,39,1,2,"2"
"DENMARK",60,16,0,14,1,0,0,0,3,7,11,3,27,5,4,6,19,640,146,259,235,17,241,172,21,17,1,0,10,11,3,650,567,32,5,9,6,12,0,8,0,74,161,1,22,38,1,2,"2"
"MEXICO",54,15,0,13,0,0,0,0,4,5,10,3,20,6,1,3,27,547,128,202,217,20,170,117,32,19,2,0,14,16,3,485,422,33,8,9,6,16,0,8,0,61,193,0,21,44,0,1,"0"
"MEXICO",36,14,0,4,2,0,0,0,1,2,1,3,8,1,1,2,11,373,78,151,144,5,127,66,13,5,4,0,19,15,4,356,287,17,4,2,2,17,0,5,0,79,327,2,9,23,1,2,"2"
"MEXICO",55,17,2,25,1,1,1,1,10,8,10,15,16,5,3,7,16,492,194,158,140,17,198,121,33,16,1,0,18,20,6,412,336,34,6,4,8,22,0,10,0,76,229,3,35,50,2,2,"1"
"FRANCE",56,9,4,22,1,4,0,4,7,9,18,4,30,6,3,8,19,691,150,182,359,26,173,135,32,27,0,0,5,11,0,734,672,34,17,6,8,11,0,4,0,64,250,5,26,47,1,1,"1"
"FRANCE",44,12,2,21,1,2,0,2,6,8,16,5,15,7,4,1,13,630,111,226,293,11,155,105,16,12,1,0,4,9,1,503,437,23,12,7,6,10,0,10,0,79,269,3,31,39,1,1,"1"
"FRANCE",48,10,3,16,1,3,0,3,7,7,10,6,15,7,2,9,19,568,118,207,243,14,174,111,26,14,1,0,10,8,3,540,481,27,4,4,7,8,0,11,0,71,220,4,27,46,1,1,"1"
"FRANCE",34,11,2,14,0,2,0,0,2,8,12,2,9,6,3,2,6,330,82,99,149,8,126,85,12,8,0,0,11,11,4,358,307,5,2,1,2,13,0,13,0,72,328,2,27,30,1,1,"1"
"FRANCE",56,14,0,9,1,0,0,0,3,4,4,5,14,6,5,3,21,630,96,212,322,11,138,99,10,4,0,0,6,14,2,636,566,20,5,3,8,17,0,6,0,80,202,1,14,31,1,2,"2"
"FRANCE",36,10,2,9,1,1,1,2,5,3,6,3,15,2,7,2,13,401,84,136,181,7,136,87,14,8,3,0,14,10,2,369,310,13,6,2,2,11,0,15,0,54,308,3,23,27,2,2,"1"
"FRANCE",40,14,3,10,3,3,0,1,5,3,7,3,15,7,5,4,12,507,105,207,195,10,163,99,14,9,3,0,19,26,4,516,419,24,3,5,5,28,2,21,0,104,409,6,31,52,0,2,"0"
